*EVALUATION : PASA1701BN SANTANDER_ANALISIS SENSIBILIDAD                              DSSAT Cropping System Model Ver. 4.6.1.000 -release      JUL 21, 2017; 08:17:42

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   GL%MS   GL%MM   CHTAS   CHTAM   R8APS   R8APM   EDAPS   EDAPM
  50 PASA1701BN     2  1 BN      27     -99      30     -99      41     -99      67     -99    2067     -99    2665     -99     557     -99  0.3711     -99    4.30     -99    3065     -99    1000     -99    1.20     -99   0.675     -99   77.56     -99      76     -99      92     -99       4     -99    3.68     -99     357     -99      11     -99    5.01     -99    2.56     -99    0.24     -99      74     -99       5     -99
  51 PASA1701BN     2  1 BN      26     -99      28     -99      38     -99      63     -99    2067     -99    2641     -99     541     -99  0.3824     -99    4.30     -99    3039     -99     970     -99    1.29     -99   0.680     -99   78.26     -99      76     -99      91     -99       4     -99    3.69     -99     376     -99      12     -99    5.25     -99    2.62     -99    0.27     -99      70     -99       5     -99
  52 PASA1701BN     2  1 BN      29     -99      32     -99      43     -99      70     -99    2072     -99    2681     -99     540     -99  0.3839     -99    4.30     -99    3099     -99    1030     -99    1.18     -99   0.669     -99   77.30     -99      76     -99      92     -99       4     -99    3.66     -99     382     -99      12     -99    5.08     -99    2.54     -99    0.24     -99      77     -99       5     -99
  53 PASA1701BN     2  1 BN      29     -99      31     -99      41     -99      68     -99    2241     -99    2919     -99     623     -99  0.3594     -99    4.30     -99    3373     -99    1130     -99    1.44     -99   0.664     -99   76.78     -99      82     -99     100     -99       4     -99    3.67     -99     433     -99      14     -99    5.34     -99    2.56     -99    0.26     -99      75     -99       6     -99
  54 PASA1701BN     2  1 BN      28     -99      30     -99      40     -99      67     -99    2302     -99    2953     -99     577     -99  0.3992     -99    4.30     -99    3403     -99    1100     -99    1.42     -99   0.676     -99   77.94     -99      84     -99     102     -99       4     -99    3.66     -99     426     -99      13     -99    5.39     -99    2.58     -99    0.27     -99      74     -99       6     -99
  55 PASA1701BN     2  1 BN      28     -99      31     -99      41     -99      68     -99    2310     -99    2953     -99     583     -99  0.3963     -99    4.30     -99    3367     -99    1060     -99    1.41     -99   0.686     -99   78.24     -99      85     -99     101     -99       4     -99    3.66     -99     403     -99      13     -99    5.29     -99    2.51     -99    0.27     -99      75     -99       6     -99
  56 PASA1701BN     2  1 BN      28     -99      30     -99      40     -99      66     -99    2324     -99    2980     -99     607     -99  0.3830     -99    4.30     -99    3434     -99    1110     -99    1.48     -99   0.677     -99   78.01     -99      85     -99     103     -99       4     -99    3.68     -99     431     -99      13     -99    5.35     -99    2.58     -99    0.27     -99      73     -99       6     -99
  57 PASA1701BN     2  1 BN      28     -99      30     -99      40     -99      67     -99    2261     -99    2924     -99     619     -99  0.3655     -99    4.30     -99    3380     -99    1120     -99    1.41     -99   0.669     -99   77.32     -99      83     -99     101     -99       4     -99    3.68     -99     411     -99      13     -99    5.34     -99    2.58     -99    0.27     -99      74     -99       6     -99
  58 PASA1701BN     2  1 BN      26     -99      29     -99      38     -99      63     -99    2131     -99    2734     -99     559     -99  0.3814     -99    4.30     -99    3127     -99    1000     -99    1.39     -99   0.681     -99   77.92     -99      79     -99      94     -99       4     -99    3.69     -99     367     -99      11     -99    5.11     -99    2.63     -99    0.26     -99      70     -99       5     -99
  59 PASA1701BN     2  1 BN      28     -99      31     -99      41     -99      68     -99    2255     -99    2856     -99     567     -99  0.3976     -99    4.30     -99    3342     -99    1090     -99    1.34     -99   0.675     -99   78.95     -99      83     -99     100     -99       5     -99    3.68     -99     386     -99      12     -99    5.21     -99    2.57     -99    0.26     -99      75     -99       6     -99
