*EVALUATION : PASA1701BN PALMIRA_ANALISIS SENSIBILIDAD                                DSSAT Cropping System Model Ver. 4.6.1.000 -release      JUL 11, 2017; 13:37:20

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   GL%MS   GL%MM   CHTAS   CHTAM   R8APS   R8APM   EDAPS   EDAPM
  55 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      56     -99    2149     -99    2726     -99     660     -99  0.3256     -99    4.30     -99    3205     -99    1060     -99    1.69     -99   0.671     -99   78.84     -99      81     -99      98     -99       5     -99    3.79     -99     420     -99      13     -99    5.82     -99    2.75     -99    0.35     -99      63     -99       5     -99
  56 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    2188     -99    2828     -99     713     -99  0.3068     -99    4.30     -99    3330     -99    1140     -99    1.79     -99   0.657     -99   77.34     -99      84     -99     101     -99       5     -99    3.82     -99     453     -99      14     -99    5.94     -99    2.77     -99    0.37     -99      62     -99       5     -99
  57 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    2135     -99    2773     -99     702     -99  0.3041     -99    4.30     -99    3271     -99    1140     -99    1.74     -99   0.653     -99   76.99     -99      82     -99      99     -99       5     -99    3.82     -99     433     -99      14     -99    5.92     -99    2.75     -99    0.37     -99      62     -99       5     -99
  58 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    2152     -99    2803     -99     725     -99  0.2969     -99    4.30     -99    3302     -99    1150     -99    1.78     -99   0.652     -99   76.77     -99      83     -99     100     -99       5     -99    3.84     -99     461     -99      14     -99    5.96     -99    2.76     -99    0.37     -99      62     -99       5     -99
  59 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    2165     -99    2824     -99     737     -99  0.2939     -99    4.30     -99    3334     -99    1170     -99    1.80     -99   0.649     -99   76.66     -99      82     -99     101     -99       5     -99    3.81     -99     435     -99      14     -99    5.85     -99    2.77     -99    0.37     -99      62     -99       5     -99
  60 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      56     -99    2229     -99    2849     -99     691     -99  0.3225     -99    4.30     -99    3328     -99    1100     -99    1.75     -99   0.670     -99   78.23     -99      85     -99     102     -99       4     -99    3.81     -99     425     -99      13     -99    5.83     -99    2.75     -99    0.35     -99      63     -99       5     -99
  61 PASA1701BN     2  1 BN      24     -99      26     -99      35     -99      56     -99    2236     -99    2871     -99     701     -99  0.3191     -99    4.30     -99    3345     -99    1110     -99    1.73     -99   0.668     -99   77.87     -99      85     -99     102     -99       4     -99    3.81     -99     424     -99      13     -99    5.76     -99    2.76     -99    0.34     -99      63     -99       5     -99
  62 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    2199     -99    2852     -99     737     -99  0.2985     -99    4.30     -99    3402     -99    1200     -99    1.77     -99   0.646     -99   77.09     -99      85     -99     104     -99       5     -99    3.88     -99     450     -99      14     -99    5.84     -99    2.70     -99    0.35     -99      62     -99       5     -99
  63 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      54     -99    2092     -99    2709     -99     692     -99  0.3024     -99    4.30     -99    3214     -99    1120     -99    1.78     -99   0.651     -99   77.23     -99      80     -99      97     -99       5     -99    3.83     -99     453     -99      14     -99    5.95     -99    2.77     -99    0.37     -99      61     -99       5     -99
  64 PASA1701BN     2  1 BN      24     -99      26     -99      34     -99      55     -99    2224     -99    2896     -99     756     -99  0.2942     -99    4.30     -99    3445     -99    1220     -99    1.82     -99   0.646     -99   76.80     -99      87     -99     105     -99       5     -99    3.90     -99     459     -99      14     -99    5.91     -99    2.68     -99    0.36     -99      62     -99       5     -99
  65 PASA1701BN     3  1 BN      25     -99      27     -99      35     -99      56     -99    2197     -99    2834     -99     719     -99  0.3054     -99    4.30     -99    3362     -99    1160     -99    1.93     -99   0.654     -99   77.54     -99      84     -99     102     -99       5     -99    3.83     -99     492     -99      15     -99    6.17     -99    2.75     -99    0.41     -99      63     -99       5     -99
  66 PASA1701BN     3  1 BN      26     -99      28     -99      36     -99      57     -99    2100     -99    2725     -99     696     -99  0.3017     -99    4.30     -99    3231     -99    1130     -99    1.82     -99   0.650     -99   77.07     -99      80     -99      97     -99       5     -99    3.82     -99     487     -99      15     -99    6.17     -99    2.78     -99    0.38     -99      64     -99       5     -99
  67 PASA1701BN     3  1 BN      25     -99      27     -99      36     -99      56     -99    2116     -99    2758     -99     703     -99  0.3012     -99    4.30     -99    3241     -99    1130     -99    1.88     -99   0.653     -99   76.72     -99      81     -99      99     -99       5     -99    3.85     -99     462     -99      14     -99    6.09     -99    2.76     -99    0.38     -99      63     -99       5     -99
  68 PASA1701BN     3  1 BN      25     -99      27     -99      35     -99      56     -99    2202     -99    2859     -99     733     -99  0.3006     -99    4.30     -99    3384     -99    1180     -99    1.91     -99   0.651     -99   77.01     -99      84     -99     102     -99       5     -99    3.84     -99     488     -99      15     -99    6.23     -99    2.77     -99    0.40     -99      63     -99       5     -99
  69 PASA1701BN     3  1 BN      25     -99      28     -99      36     -99      57     -99    2238     -99    2893     -99     717     -99  0.3123     -99    4.30     -99    3363     -99    1120     -99    1.87     -99   0.666     -99   77.38     -99      85     -99     102     -99       4     -99    3.80     -99     452     -99      14     -99    5.99     -99    2.77     -99    0.38     -99      64     -99       5     -99
  70 PASA1701BN     3  1 BN      26     -99      28     -99      36     -99      57     -99    2292     -99    2936     -99     731     -99  0.3137     -99    4.30     -99    3490     -99    1200     -99    1.92     -99   0.657     -99   78.07     -99      88     -99     106     -99       5     -99    3.82     -99     530     -99      16     -99    6.24     -99    2.75     -99    0.41     -99      64     -99       5     -99
  71 PASA1701BN     3  1 BN      25     -99      27     -99      35     -99      56     -99    2231     -99    2879     -99     747     -99  0.2986     -99    4.30     -99    3452     -99    1220     -99    1.91     -99   0.646     -99   77.51     -99      85     -99     104     -99       6     -99    3.80     -99     494     -99      15     -99    6.19     -99    2.77     -99    0.39     -99      63     -99       5     -99
  72 PASA1701BN     3  1 BN      25     -99      27     -99      35     -99      56     -99    2312     -99    2966     -99     753     -99  0.3069     -99    4.30     -99    3573     -99    1260     -99    2.01     -99   0.647     -99   77.95     -99      89     -99     108     -99       6     -99    3.86     -99     528     -99      17     -99    6.18     -99    2.77     -99    0.39     -99      63     -99       5     -99
